season,full_name,squad,club_joined
2017-2018,Calum Chambers,Arsenal,2014-7-28
2017-2018,Harry Arter,Bournemouth,2010-6-7
2017-2018,Timothy Fosu-Mensah,Crystal Palace,2017-8-10
2017-2018,Sandro Ramírez,Everton,2017-7-3
2017-2018,Danny Ings,Liverpool,2015-6-8
2017-2018,Kenedy ,Newcastle Utd,2018-1-23
2017-2018,Kurt Zouma,Stoke City,2017-7-21
2017-2018,Jordan Ayew,Swansea City,2017-1-31
2017-2018,Gareth McAuley,West Brom,2011-5-23
2017-2018,Salomón Rondón,West Brom,2015-8-10
2018-2019,Víctor Camarasa,Cardiff City,2018-8-9
2018-2019,Aron Gunnarsson,Cardiff City,2011-7-8
2018-2019,Aaron Mooy,Huddersfield,2016-7-6
2019-2020,Dani Ceballos,Arsenal,2019-7-25
2019-2020,Aaron Mooy,Brighton,2019-8-8
2019-2020,Michy Batshuayi,Chelsea,2016-7-3
2019-2020,Odion Ighalo,Manchester Utd,2020-1-31
2019-2020,Gedson Fernandes,Tottenham,2020-1-15
2020-2021,Robbie Brady,Burnley,2017-1-31
2020-2021,Billy Gilmour,Chelsea,2017-7-1
2020-2021,Jean-Philippe Mateta,Crystal Palace,2021-1-21
2020-2021,Ademola Lookman,Fulham,2020-9-30
2020-2021,Ozan Kabak,Liverpool,2021-2-1
2020-2021,Axel Tuanzebe,Manchester Utd,2015-10-31
2020-2021,Brandon Williams,Manchester Utd,2019-9-25
2020-2021,Toby Alderweireld,Tottenham,2015-7-8
2020-2021,Conor Gallagher,West Brom,2020-9-17