season_end_year,full_name,short_name,long_name
2018,Yohan Cabaye,NA,NA
2018,Bakary Sako,NA,NA
2018,Ki Sung-yueng,Ki Sung Yueng,기성용 寄诚庸
2018,Son Heung-min,H. Son,손흥민 孙兴慜
2018,Claudio Yacob,NA,NA
2019,Sokratis Papastathopoulos,Sokratis,Sokratis Papastathopoulos
2019,Bruno Ecuele Manga,B. Ecuélé Manga,Bruno Écuélé Manga
2019,Andre-Frank Zambo Anguissa,A. Zambo Anguissa,André-Franck Zambo Anguissa
2019,Daniel Sturridge,NA,NA
2019,Mohamed Diamé,NA,NA
2019,Ki Sung-yueng,Ki Sung Yueng,기성용 寄诚庸
2019,Son Heung-min,H. Son,손흥민 孙兴慜
2020,Sokratis Papastathopoulos,Sokratis,Sokratis Papastathopoulos
2020,Trézéguet ,Trezeguet,Mahmoud Ahmed Ibrahim Hassan
2020,Arnaut Groeneveld,A. Danjuma Groeneveld,Arnaut Danjuma Groeneveld
2020,Son Heung-min,H. Son,손흥민 孙兴慜
2021,Willian ,NA,NA
2021,Ahmed Elmohamady,NA,NA
2021,Trézéguet ,Trezeguet,Mahmoud Ahmed Ibrahim Hassan
2021,Andre-Frank Zambo Anguissa,A. Zambo Anguissa,André-Franck Zambo Anguissa
2021,Raphael Dias Belloli,Raphinha,Raphael Dias Belloli
2021,Thiago Alcántara,Thiago,Thiago Alcântara do Nascimento
2021,Serge Aurier,NA,NA
2021,Son Heung-min,H. Son,손흥민 孙兴慜
2021,Hal Robson-Kanu,NA,NA
2021,Fabián Balbuena,NA,NA